country,t=0,t=1,t=2,t=3,t=4,t=5,t=6,t=7,t=8,t=9,t=10,t=11,t=12,t=13,t=14,t=15,t=16,t=17,t=18,t=19,t=20,t=21,t=22,t=23,t=24,t=25,t=26,t=27,t=28,t=29,t=30
Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.744214682301277e-05,0.00041832283592243836,0.0015030239166168968,0.004644860650686769,0.012783119220570327,0.03146191321829834,0.06949320639880117,0.13677693307645566,0.23703094770882815,0.3550251653585766,0.44896000398134017,0.46856075776974254,0.39769387685821245,0.27137862290606096,0.14615047707858805,0.06043680907128481,0.018558994075605805,0.004077112577769939,0.0006038826668785496,5.563249742039732e-05,3.1309960039847577e-06,3.0
Israel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7640614888523e-05,0.00021848330191983413,0.0007750653973346991,0.00245631591725101,0.006882547022701128,0.017353265383490756,0.0392713072713204,0.07930603882316074,0.1412478756165868,0.21823810530199542,0.28660316378639245,0.31363412097640264,0.2820244850459764,0.20557157265038445,0.11898370408456345,0.05317022356465595,0.017740482233450528,0.004248232647973236,0.0006988500948338456,7.020606186600686e-05,4.327112261871675e-06,3.0
Italy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.730608108343906e-06,4.574992828474481e-05,0.0002038358016841748,0.0007328374265659868,0.002320640926407842,0.006602721163450702,0.016949992620450393,0.03920081270383598,0.08106761100099032,0.14818875822119998,0.23571693456035334,0.3201833448087573,0.36451547721069993,0.3423480547409971,0.2608541524188645,0.1576073340216667,0.07326215399714724,0.02526576301125491,0.0062121777337479575,0.001043903535402051,0.00011321133474098784,7.288640537952248e-06,3.0
Jamaica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.481740892091118e-05,0.00021746226871006096,0.0003290919751071816,0.00037981944060002754,0.00028527267561723684,0.00016539648867943635,7.168291953208341e-05,2.238236450131138e-05,4.823699679399641e-06,6.826776399527646e-07,5.993035702375404e-08,0.0
Japan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.997031746458169e-06,1.4109319358802708e-05,5.722763938985876e-05,0.000194079815922504,0.0005892004188337245,0.0016181056305919219,0.004020915747382959,0.009020398343277468,0.018115876058952804,0.03218133422713161,0.04973497651057517,0.06554880697955695,0.07226734557464354,0.0656896962861683,0.048525122873713245,0.02851965851338936,0.01296435688846066,0.004407091462439467,0.0010779900721252522,0.00018130299502648037,1.980569499559822e-05,1.2790121149324114e-06,0.0
Jordan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.992322154032666e-05,0.0003052551185815403,0.0012938072262713755,0.004442379458092192,0.013090996518043132,0.03371850404508687,0.07589719575670903,0.14799886141649546,0.24685812359173936,0.34684017294964187,0.4033707512039451,0.38012387114562773,0.2829056623403107,0.16145565278215956,0.06836525972185402,0.020681619361494066,0.004276035029082932,0.0005753916036709393,4.757945438036312e-05,3.0
Kazakhstan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32533884575117e-05,0.000134542656824552,0.0005591631443724833,0.0019266872626143728,0.005653683946191661,0.01443186213416,0.03201140338284656,0.06131887789978693,0.10023892613997214,0.13763726314681163,0.1557260049821012,0.14203140516025234,0.10185470358249084,0.0558220174195271,0.02263801605017483,0.006544324663669998,0.0012914669279511812,0.0001677857361323537,1.2962773303730943e-05,0.0
Kenya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1957463198744964e-05,7.503678824980944e-05,0.0003664350718162046,0.001576007225107252,0.006121665447644333,0.02165841881735391,0.06965146567380584,0.20207567340212634,0.5228975661816553,1.188980300072754,2.331475708621377,3.8500493551397383,5.19423273684245,5.513103721192298,4.404733526014136,2.525206020337796,0.9887375124657927,0.25149964398231733,0.03946081269949349,0.0036097412401951265,0.00018103022671104457,3.0
Kuwait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010187482287775107,0.0005633103959208259,0.0020440167454811083,0.006064199067427996,0.015462586857662428,0.03408419408712546,0.06460390458145633,0.10427259861704116,0.1412680713530289,0.15779170128394174,0.14243491288184051,0.10128706960336176,0.054921484459529046,0.02186701361606935,0.006168606519760519,0.0011827565467305236,0.00014447716713136108,1.08932963147106e-05,0.0
Kyrgyzstan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.910574852961516e-05,0.00032564974841939076,0.0010812684182296838,0.0028912933064287015,0.00651856867765046,0.012345348641699526,0.019554396223629783,0.02546361230871913,0.026721895628215125,0.02211353328439714,0.014055556486544269,0.006658372008090613,0.002269393749795185,0.0005289253992627497,8.099188505346254e-05,7.696970323985002e-06,0.0
